,mal_id,titles,Tag
1684,366,AIKa,"['5.95', 'Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Ecchi', 'a', 'catastrophic', 'earthquake', 'has', 'left', 'tokyo,', 'and', 'most', 'of', 'the', 'earth', 'for', 'that', 'matter,', 'under', 'the', 'sea.', 'aika', 'is', 'a', 'salvager', 'who', 'retrieves', 'various', 'remains', 'from', 'the', 'watery', 'ruins.', 'when', 'aika', 'accepts', 'the', 'dangerous', 'mission', 'of', 'locating', 'and', 'obtaining', 'the', 'mysterious', 'lagu,', 'she', 'discovers', 'that', ""she's"", 'not', 'the', 'only', 'one', 'after', 'it.']"
1685,2076,Kindaichi Shounen no Jikenbo,"['7.99', 'Mystery', 'hajime', ""kindaichi's"", 'unorganized', 'appearance', 'and', 'lax', 'nature', 'may', 'give', 'the', 'impression', 'of', 'an', 'average', 'high', 'school', 'student,', 'but', 'a', 'book', 'should', 'never', 'be', 'judged', 'by', 'its', 'cover.', 'hajime', 'is', 'the', 'grandson', 'of', 'the', 'man', 'who', 'was', 'once', ""japan's"", 'greatest', 'detective,', 'and', 'he', 'is', 'also', 'a', 'remarkable', 'sleuth', 'himself.', 'with', 'the', 'help', 'of', 'his', 'best', 'friend,', 'miyuki', 'nanase,', 'and', 'the', 'peculiar', 'inspector', 'isamu', 'kenmochi,', 'hajime', 'travels', 'to', 'remote', 'islands,', 'ominous', 'towns,', 'abysmal', 'seas,', 'and', 'other', 'hostile', 'environments.', 'his', ""life's"", 'mission', 'is', 'to', 'uncover', 'the', 'truth', 'behind', 'some', 'of', 'the', 'most', 'cunning,', 'grueling,', 'and', 'disturbing', 'mysteries', 'the', 'world', 'has', 'ever', 'faced.', '[written', 'by', 'mal', 'rewrite]']"
1686,381,Fushigi Yuugi: Dai Ni Bu,"['7.24', 'Adventure', 'Fantasy', 'Romance', 'Historical', 'Isekai', 'MartialArts', 'after', 'tamahome', 'is', 'reborn', 'into', 'the', 'real', 'world', 'as', 'taka', 'sukunami,', 'it', 'does', 'not', 'take', 'long', 'until', 'he', 'meets', 'miaka', 'yuuki', 'again,', 'leading', 'to', 'their', 'romance', 'blooming', 'once', 'more.', 'however,', 'the', 'appearance', 'of', 'ren', 'shigyou—a', 'new', 'student', 'at', ""miaka's"", 'high', 'school—disturbs', 'their', 'blissful', 'days.', 'resentful', 'of', 'the', 'happy', 'lovers,', 'shigyou', 'uses', 'his', 'unusual', 'manipulative', 'skills', 'to', 'quickly', 'become', 'popular', 'and', 'rally', 'his', 'classmates', 'against', 'miaka', 'and', 'taka.', 'as', ""shigyou's"", 'followers', 'unexpectedly', 'attack', 'the', 'pair,', 'the', 'two', 'end', 'up', 'falling', 'from', 'the', ""school's"", 'roof', 'into', 'a', 'red', 'light', 'and', 'are', 'transported', 'to', 'the', 'universe', 'of', 'the', 'four', 'gods', 'realm.', 'returning', 'to', 'the', 'place', 'where', 'taka', 'once', 'lived', 'as', 'tamahome,', 'the', 'couple', 'learns', 'that', 'an', 'evil', 'demon', 'is', 'behind', 'the', 'recent', 'events.', 'to', 'make', 'matters', 'worse,', 'taka', 'risks', 'disappearing', 'from', 'existence', 'unless', 'he', 'recovers', 'his', 'previous', ""life's"", 'memories,', 'which', 'are', 'stored', 'in', 'seven', 'jewels.', 'joining', 'forces', 'with', 'their', 'former', 'companions,', 'miaka', 'and', 'taka', 'embark', 'on', 'a', 'quest', 'against', 'the', 'clock', 'to', 'retrieve', 'the', 'precious', 'stones', 'before', 'it', 'is', 'too', 'late.', '[written', 'by', 'mal', 'rewrite]']"
1687,110,Chuuka Ichiban!,"['7.59', 'Action', 'Comedy', 'Drama', 'Gourmet', 'the', 'story', 'takes', 'place', 'in', '19th', 'century', 'china', 'during', 'the', 'qing', 'dynasty,', 'where', 'the', 'emperor', 'was', 'weakened', 'and', 'the', 'country', 'was', 'close', 'to', 'chaos.', 'it', 'is', 'also', 'during', 'a', 'fictitious', 'era', 'called', '""the', 'era', 'of', 'the', 'cooking', 'wars"".', 'it', 'was', 'an', 'era', 'in', 'which', 'top', 'chefs', 'with', 'different', 'cooking', 'styles', 'tried', 'their', 'best', 'to', 'improve', 'their', 'skills', 'and', 'to', 'become', 'the', 'best', 'chef', 'in', 'china.', 'it', 'is', 'a', 'country', 'where', 'insulting', 'a', 'high-grade', 'chef', 'or', 'fooling', 'around', 'with', 'cooking', 'could', 'land', 'a', 'person', 'in', 'a', 'jail,', 'and', 'impersonating', 'a', 'top-chef', 'is', 'as', 'good', 'as', 'usurpation', 'of', 'authority.', 'chefs', 'compete', 'with', 'each', 'other', 'in', 'order', 'to', 'gain', 'respect', 'and', 'even', 'power,', 'but', 'also', 'with', 'the', 'risks', 'of', 'losing', 'everything.', 'the', 'country', 'of', 'china', 'has', 'four', 'major', 'regions:', 'beijing,', 'szechuan,', 'shanghai,', 'and', 'guangdong.', 'the', 'beginning', 'of', 'the', 'story', 'takes', 'place', 'in', 'szechuan,', ""mao's"", 'birthplace.', 'after', 'the', 'death', 'of', ""mao's"", 'mother,', 'pai,', 'who', 'was', 'called', 'the', ""'fairy"", 'of', ""cuisine',"", 'mao', 'becomes', 'a', 'super', 'chef', 'in', 'order', 'to', 'take', 'the', 'title', 'as', 'master', 'chef', 'of', 'his', ""mother's"", 'restaurant.', 'however,', 'before', 'he', 'takes', 'his', ""mother's"", 'place', 'as', 'master', 'chef,', 'he', 'continues', 'to', 'travel', 'china', 'in', 'order', 'to', 'learn', 'more', 'of', 'the', 'many', 'ways', 'of', 'cooking,', 'in', 'the', 'hopes', 'of', 'becoming', 'a', 'legendary', 'chef,', 'just', 'like', 'his', 'mother.', 'during', 'his', 'journey,', 'he', 'meets', 'great', 'friends', 'and', 'fierce', 'rivals', 'who', 'wish', 'to', 'challenge', 'him', 'in', 'the', 'field', 'of', 'cooking.', '(source:', 'wikipedia)']"
1688,818,Sakura Tsuushin,"['6.17', 'Comedy', 'Drama', 'Romance', 'SliceofLife', 'LovePolygon', 'a', 'keio', 'university', '(one', 'of', 'the', 'top', 'three', 'colleges', 'in', 'japan)', 'exam', 'candidate,', 'touma', 'inaba,', 'is', 'interupted', 'when', 'a', 'cute', 'young', 'girl,', 'urara', 'kasuga,', 'arrives', 'at', 'his', 'hotel', 'room', 'door.', 'she', 'later', 'turns', 'out', 'to', 'be', 'his', 'cousin', 'who', 'he', 'barely', 'remembers', 'from', 'his', 'childhood.', 'urara,', 'who', 'had', 'felt', 'something', 'special', 'for', 'him', '(an', 'other-than-cousinly-love),', 'invites', 'touma', 'to', 'live', 'with', 'her', 'since', 'he', 'has', 'no', 'place', 'to', 'stay', 'other', 'than', 'the', 'hotel', 'room.', 'before', 'taking', 'the', 'test,', 'touma', 'meets', 'meiko', 'yotsuba,', 'a', 'beautiful,', 'sophisticated', 'woman', 'also', 'trying', 'to', 'get', 'into', 'keio.', 'meiko', 'gets', 'into', 'keio', 'but', 'touma', 'does', 'not,', 'due', 'to', 'a', 'cold', 'urara', 'had', 'given', 'him', 'shortly', 'before.', 'although', 'he', 'did', 'not', 'make', 'it,', 'he', 'pretends', 'he', 'does', 'to', 'earn', 'the', 'respect', 'of', 'meiko.', 'touma', 'is', 'caught', 'up', 'in', 'a', 'love', 'triangle', 'with', 'urara', 'and', 'meiko,', 'while', 'struggling', 'to', 'keep', 'meiko', 'believing', ""he's"", 'really', 'a', 'keio', 'student', 'and', 'still', 'be', 'there', 'for', 'urara', 'at', 'the', 'same', 'time.', '(source:', 'ann)']"
1689,1844,Clamp Gakuen Tanteidan,"['6.88', 'Action', 'Comedy', 'Mystery', 'Detective', 'School', 'the', 'clamp', 'school,', 'with', 'its', 'integrated', 'curriculum', 'from', 'kindergarten', 'to', 'post-graduate', 'studies,', 'was', 'founded', 'by', 'the', 'largest', 'of', 'japanese', 'business', 'empires,', 'the', 'house', 'of', 'imonoyama.', 'funded', 'entirely', 'out', 'of', 'its', 'own', 'deep', 'pockets,', 'it', 'was', 'hoped', 'that', 'the', 'school', 'would', 'be', 'a', 'haven', 'for', 'young', 'men', 'and', 'women', 'on', 'whose', 'shoulders', 'our', 'future', 'would', 'rest.', 'the', 'school', 'is', 'open', 'to', 'any', 'talented', 'individual,', 'irrespective', 'of', 'his', 'or', 'her', 'lineage', 'or', 'financial', 'standing', 'and', 'is', 'known', 'to', 'count', 'scores', 'of', 'singularly', 'talented', 'pupils.', 'it', 'is', 'furthermore', 'also', 'famous', 'for', 'its', 'harboring', 'of', 'a', 'remarkable', 'percentage', 'of', 'party', 'animals.', 'not', 'even', 'the', 'bright', 'and', 'talented', 'minds', 'of', 'clamp', 'school', 'can', 'keep', 'the', 'campus', 'free', 'of', 'crimes', 'and', 'mysteries.', 'or', 'can', 'they?', 'join', 'nokoru,', 'suoh', 'and', 'akira,', 'our', 'case-cracking', 'kid', 'detectives,', 'as', 'they', 'save', 'the', 'day', 'and', 'even', 'the', 'odd', 'damsel', 'in', 'distress!', '(source:', 'bandai', 'entertainment)']"
1690,1180,Hyper Police,"['7.17', 'Action', 'Comedy', 'Romance', 'Sci-Fi', 'Detective', 'sasahara', 'natsuki', 'is', 'a', 'poor', 'bounty', 'hunter', 'in', 'a', 'world', 'where', 'monsters', 'and', 'humans', 'live', 'together.', 'most', 'of', 'her', 'cases', 'involve', 'monsters', 'infringing', 'upon', 'the', 'rights', 'of', 'humans,', 'who', 'are', 'protected', 'by', 'law', 'from', 'their', 'generally', 'more', 'powerful', 'neighbors.', 'being', 'half-human', 'and', 'half', 'cat-beast,', 'natsuki', 'straddles', 'the', 'two', 'societies', 'and', 'tries', 'to', 'understand', 'and', 'respect', 'both', 'while', 'enforcing', 'the', 'law.', 'she', 'is', 'assisted', 'by', 'a', 'werewolf', 'named', 'batanen', 'who', 'is', 'afraid', 'to', 'admit', 'he', 'loves', 'her;', 'another', 'werewolf', 'named', 'tommy;', 'and', 'a', 'kyubi', 'fox', 'demon', 'named', 'sakura', 'who', 'has', 'her', 'own', 'plans--which', 'include', 'eating', 'natsuki', 'to', 'complete', 'her', 'her', 'nine', 'tails', 'and', 'thereby', 'her', 'magical', 'powers.', '(source:', 'ann)']"
1691,1106,Eikyuu Kazoku,"['5.93', 'Comedy', 'Psychological', 'it', 'started', 'as', 'a', 'sociological', 'experiment.', 'six', 'different', 'people', 'were', 'brainwashed', 'to', 'think', 'that', 'they', 'were', 'a', 'family', 'and', 'then', 'put', 'in', 'arbitrary', 'situations', 'to', 'see', 'how', 'they', 'would', 'react;', 'however,', 'when', 'a', 'taping', 'of', 'the', 'families', 'conducts', 'is', 'sold', 'in', 'a', 'desperate', 'attempt', 'to', 'make', 'a', 'little', 'capital,', 'it', 'instantly', 'becomes', 'a', 'success.', 'now', 'the', 'family', 'is', 'a', 'first', 'rated', 'show', 'and', 'their', 'every', 'move', 'is', 'broadcasted', 'around', 'the', 'world', 'without', 'them', 'knowing', 'it.', 'but', 'when', 'a', 'clogged', 'toilet', 'sets', 'off', 'a', 'chain', 'of', 'events', 'that', 'ultimately', 'frees', 'the', 'family', 'from', 'the', 'room', 'they', 'are', 'confined', 'in', 'the', 'broadcasters,', 'not', 'willing', 'to', 'lose', 'their', 'source', 'of', 'income,', 'set', 'out', 'to', 'hunt', 'down', 'and', 'recapture', 'every', 'member', 'of', 'the', 'eternal', 'family.', '(source:', 'ann)']"
1692,458,Buttobi!! CPU,"['6.39', 'Comedy', 'Sci-Fi', 'Ecchi', 'embarrassed', 'to', 'be', 'the', 'only', 'member', 'of', 'the', 'electric', 'brain', 'study', 'society', 'who', 'doesn’t', 'own', 'a', 'computer,', 'akira', 'takaoka', 'is', 'thrilled', 'when', 'an', 'electronics', 'store', 'advertises', 'a', 'pc9821', 'for', 'only', 'ninety-eight', 'thousand', 'yen.', 'the', 'deal', 'is', 'limited', 'to', 'the', 'first', 'five', 'customers;', 'unfortunately,', 'by', 'the', 'time', 'akira', 'gets', 'there,', 'the', 'pcs', 'are', 'sold', 'out.', 'however,', 'a', 'mysterious', 'man', 'in', 'the', 'back', 'alley', 'offers', 'him', 'the', 'exact', 'same', 'deal.', 'akira', 'takes', 'the', 'deal,', 'only', 'to', 'realize', 'that', 'this', 'pc', 'is', 'not', 'a', '9821', 'version,', 'but', 'a', '2198', 'version', 'instead.', 'it', 'turns', 'out', 'that', 'the', 'pc2198', 'is', 'an', 'advanced', 'bio-type', 'computer', 'that', 'needs', 'a', 'nearly', 'constant', 'input', 'of', 'sperm', 'to', 'function!', 'the', 'pc2198,', 'named', 'mimi,', 'now', 'has', 'to', 'defend', 'akira', 'from', 'the', 'evil', 'apple', 'nacintosh', 'sisters', 'who', 'want', 'to', 'take', 'over', 'the', 'entire', 'japanese', 'pc', 'market.', 'will', 'the', 'embarrassed', 'akira', 'be', 'able', 'to', 'supply', 'mimi', 'with', 'what', 'she', 'needs', 'to', 'win?', '[written', 'by', 'mal', 'rewrite]']"
1693,1478,City Hunter: Goodbye My Sweetheart,"['7.5600000000000005', 'Adventure', 'Comedy', 'ryo', 'saeba', '(aka', 'the', 'city', 'hunter),', 'is', 'a', 'private', 'detective', 'in', 'the', 'city', 'of', 'tokyo.', 'together', 'with', 'sidekick', 'kaori', 'makimura,', 'ryo', 'is', 'hired', 'by', 'actress', 'emi', 'makaze', 'to', 'find', 'her', 'long', 'lost', 'brother.', 'the', ""woman's"", 'brother', 'turns', 'out', 'to', 'be', '""the', 'professor"",', 'a', 'dillusional', 'ex-soldier', ""who's"", 'planing', 'to', 'destroy', 'the', 'shinjuku', 'district', 'of', 'tokyo.', 'kaori', 'is', 'assigned', 'to', 'guard', 'emi,', 'but', 'they', 'both', 'get', 'caught', 'up', 'in', 'the', ""professor's"", 'scheme.', 'the', 'city', 'hunter', 'must', 'save', 'them,', 'without', 'allowing', 'downtown', 'tokyo', 'to', 'be', 'destroyed.', '(source:', 'ann)']"
1694,6460,Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,"['7.44', 'Action', 'Adventure', 'Comedy', 'an', 'action', 'comedy', 'film', 'depicting', 'the', 'nohara', 'family', 'who', 'get', 'caught', 'in', 'a', 'fight', 'between', 'two', 'clans,', 'tamayura', 'and', 'tamayomi.', 'set', 'in', 'tokyo', 'and', 'aomori', '(northern', 'end', 'of', ""japan's"", 'main', 'island).', 'the', 'tamayomi', 'clan', 'had', 'plotted', 'to', 'revive', 'the', 'evil', 'genie', 'jarke', 'and', 'to', 'conquer', 'the', 'world.', 'to', 'stop', ""tamayomi's"", 'plot,', 'the', 'three', 'gay', 'brothers', '(rose,', 'lavender', 'and', 'lemon)', 'from', 'tamayura', 'clan', 'wrested', ""jarke's"", 'ball,', 'which', 'was', 'a', 'key', 'to', 'revive', 'jarke,', 'from', 'the', 'bar', 'girl', 'gang', 'of', 'tamayomi', 'clan,', 'but', ""shinnosuke's"", 'younger', 'sister', 'himawari', 'swallowed', 'down', 'the', 'ball.', 'the', 'nohara', 'family,', 'with', 'the', 'three', 'gay', 'brothers', 'and', 'a', 'female', 'detective', 'yone', 'higashimatsuyama,', 'fights', 'a', 'fierce', 'battle', 'against', 'the', 'tamayomi', 'gang', 'chasing', 'them.', '(source:', 'manabu', 'tsuribe)']"
1695,1161,Maze☆Bakunetsu Jikuu (TV),"['6.74', 'Adventure', 'Comedy', 'Fantasy', 'MagicalSexShift', 'Mecha', 'maze', 'wakes', 'up', 'in', 'her', 'house,', 'everything', 'is', 'a', 'wreck', 'and', 'she', 'has', 'amnesia.', 'before', 'she', 'can', 'gather', 'what', 'has', 'happened', 'the', 'girl', 'mill', 'storms', 'into', 'her', 'house', 'thanking', 'her', 'for', 'having', 'saved', 'her', 'life.', 'she', 'tells', 'maze', 'that', 'her', 'house', 'suddenly', 'fell', 'down', 'from', 'the', 'sky', 'and', 'crushed', 'mills', 'pursuers', 'under', 'it.', 'however', 'before', 'long', 'they', 'are', 'both', 'on', 'the', 'run', 'from', 'further', 'pursuers', 'who', 'want', 'their', 'hands', 'on', 'princess', 'mill.', 'they', 'are', 'only', 'saved', 'when', 'maze', 'discovers', 'that', 'she', 'has', 'phantom', 'light', 'magical', 'powers', 'and', 'can', 'summon', 'mills', 'family', 'heirloom', 'mecha.', 'however', 'her', 'performance', 'with', 'the', 'mecha', 'is', 'weak;', 'that', 'is', 'until', 'the', 'sun', 'goes', 'down', 'and', 'she', 'is', 'turned', 'in', 'to', 'a', 'lecherous', 'man.', 'soon', 'other', 'travellers', 'join', 'them', 'as', 'maze', 'tries', 'to', 'protect', 'mill', 'and', 'figure', 'out', 'what', 'she', 'is', 'doing', 'in', 'this', 'fantasy', 'world.', '(source:', 'ann)']"
1696,1767,Psycho Diver: Mashou Bosatsu,"['5.74', 'Horror', 'Sci-Fi', 'Gore', 'Psychological', 'psycho', 'divers', 'are', 'people', 'who,', 'through', 'technology,', 'are', 'able', 'to', 'enter', 'an', 'individual’s', 'psyche', 'where', 'they', 'can', 'directly', 'address', 'any', 'psychological', 'issues.', 'due', 'to', 'his', 'reputation', 'as', 'one', 'of', 'the', 'most', 'skilled', 'divers,', 'busujima', 'is', 'hired', 'to', 'remedy', 'popular', 'musician', 'yuki', ""kano's"", 'bouts', 'of', 'psychosis', 'that', 'prevent', 'her', 'from', 'singing.', 'however,', 'when', 'he', 'learns', 'that', 'a', 'previous', 'diver', 'has', 'died', 'trying', 'to', 'help', 'yuki,', 'and', 'that', 'her', 'mental', 'condition', 'has', 'a', 'strange', 'connection', 'to', 'a', 'religious', 'cult,', 'busujima', 'wonders', 'if', 'he', 'will', 'be', 'able', 'to', 'make', 'it', 'out', 'of', 'her', 'mind', 'alive.', '[written', 'by', 'mal', 'rewrite]']"
1697,1185,Battle Athletess Daiundoukai,"['6.45', 'Comedy', 'Sci-Fi', 'Sports', 'Ecchi', 'Space', 'it', 'is', 'the', 'year', '4999', '-', 'mankind', 'has', 'long', 'abandoned', 'war', 'in', 'favor', 'of', 'intergalactic', 'competition', 'through', 'athletic', 'events.', 'one', 'of', 'which', 'is', 'an', 'all-female', 'contest', 'for', 'the', 'coveted', '""cosmo', 'beauty""', 'title.', 'akari', 'kanzaki', 'has', 'just', 'entered', 'the', 'university', 'satellite', 'in', 'hopes', 'of', 'becoming', 'the', 'latest', 'cosmic', 'beauty', '-', 'a', 'title', 'held', 'by', 'her', 'mother', 'long', 'ago.', 'on', 'her', 'first', 'few', 'days', 'in', 'the', 'university,', 'she', 'meets', 'new', 'friends,', 'encounters', 'fierce', 'rivals,', 'and', 'struggles', 'to', 'become', 'the', 'best', 'of', 'all', 'the', 'battle', 'athletes.', '(source:', 'ann)']"
1698,2415,Super Fishing Grander Musashi,"['7.09', 'Adventure', 'Sports', 'musashi', 'lives', 'with', 'his', 'father.', 'his', 'mother', 'left', 'them', 'three', 'years', 'ago.', 'musashi', 'believes', 'she', 'will', 'come', 'back', 'to', 'them.', 'one', 'day', 'they', 'move', 'from', 'tokyo', 'to', 'a', 'village', 'in', 'the', 'countryside.', 'musashi', 'hates', 'living', 'in', 'the', 'countryside', 'and', 'asks', 'his', 'father', 'to', 'take', 'him', 'back', 'to', 'tokyo.', 'he', 'wonders', 'if', 'his', 'mother', 'will', 'be', 'able', 'to', 'find', 'him', 'in', 'their', 'new', 'home.', 'soon', 'after', 'moving', 'to', 'the', 'countryside,', 'musashi', 'happens', 'to', 'see', 'a', 'man', 'fishing', 'for', 'bass', 'with', 'a', 'decoy', 'fish.', 'musashi', 'is', 'fascinated', 'by', 'lure', 'fishing.', 'he', 'learns', 'a', 'lot', 'from', 'the', 'man,', 'and', 'discovers', 'that', 'his', ""mother's"", 'father', 'was', 'a', 'grand', 'champion', 'of', 'bass', 'fishing.', 'musashi', 'feels', 'that', 'fishing', 'could', 'lead', 'him', 'to', 'his', 'missing', 'mother.', 'he', 'shows', 'a', 'marvelous', 'talent', 'for', 'lure', 'fishing', 'and', 'takes', 'trips', 'to', 'many', 'places', 'around', 'the', 'world', 'in', 'search', 'of', 'various', 'incredible', 'fish.', 'through', 'fishing,', 'musashi', 'comes', 'to', 'enjoy', 'living', 'amongst', 'nature.', '(source:', 'official', 'site)']"
1699,164,Mononoke Hime,"['8.66', 'Action', 'Adventure', 'AwardWinning', 'Fantasy', 'when', 'an', 'emishi', 'village', 'is', 'attacked', 'by', 'a', 'fierce', 'demon', 'boar,', 'the', 'young', 'prince', 'ashitaka', 'puts', 'his', 'life', 'at', 'stake', 'to', 'defend', 'his', 'tribe.', 'with', 'its', 'dying', 'breath,', 'the', 'beast', 'curses', 'the', ""prince's"", 'arm,', 'granting', 'him', 'demonic', 'powers', 'while', 'gradually', 'siphoning', 'his', 'life', 'away.', 'instructed', 'by', 'the', 'village', 'elders', 'to', 'travel', 'westward', 'for', 'a', 'cure,', 'ashitaka', 'arrives', 'at', 'tatara,', 'the', 'iron', 'town,', 'where', 'he', 'finds', 'himself', 'embroiled', 'in', 'a', 'fierce', 'conflict:', 'lady', 'eboshi', 'of', 'tatara,', 'promoting', 'constant', 'deforestation,', 'stands', 'against', 'princess', 'san', 'and', 'the', 'sacred', 'spirits', 'of', 'the', 'forest,', 'who', 'are', 'furious', 'at', 'the', 'destruction', 'brought', 'by', 'the', 'humans.', 'as', 'the', 'opposing', 'forces', 'of', 'nature', 'and', 'mankind', 'begin', 'to', 'clash', 'in', 'a', 'desperate', 'struggle', 'for', 'survival,', 'ashitaka', 'attempts', 'to', 'seek', 'harmony', 'between', 'the', 'two,', 'all', 'the', 'while', 'battling', 'the', 'latent', 'demon', 'inside', 'of', 'him.', 'princess', 'mononoke', 'is', 'a', 'tale', 'depicting', 'the', 'connection', 'of', 'technology', 'and', 'nature,', 'while', 'showing', 'the', 'path', 'to', 'harmony', 'that', 'could', 'be', 'achieved', 'by', 'mutual', 'acceptance.', '[written', 'by', 'mal', 'rewrite]']"
1700,32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni","['8.55', 'Action', 'AvantGarde', 'Drama', 'Sci-Fi', 'Suspense', 'Mecha', 'Psychological', 'shinji', 'ikari', 'is', 'left', 'emotionally', 'comatose', 'after', 'the', 'death', 'of', 'a', 'dear', 'friend.', 'with', 'his', 'son', 'mentally', 'unable', 'to', 'pilot', 'the', 'humanoid', 'robot', 'evangelion', 'unit-01,', 'gendou', ""ikari's"", 'nerv', 'races', 'against', 'the', 'shadow', 'organization', 'seele', 'to', 'see', 'who', 'can', 'enact', 'their', 'ultimate', 'plan', 'first.', 'seele', 'desires', 'to', 'create', 'a', 'godlike', 'being', 'by', 'fusing', 'their', 'own', 'souls', 'into', 'an', 'evangelion', 'unit,', 'while', 'gendou', 'wishes', 'to', 'revert', 'all', 'of', 'humanity', 'into', 'one', 'primordial', 'being', 'so', 'that', 'he', 'can', 'be', 'reunited', 'with', 'yui,', 'his', 'deceased', 'wife.', 'seele', 'unleashes', 'its', 'military', 'forces', 'in', 'a', 'lethal', 'invasion', 'of', 'nerv', 'headquarters.', 'as', ""seele's"", 'forces', 'cut', 'down', ""nerv's"", 'scientists', 'and', 'security', 'personnel,', 'asuka', 'langley', 'souryuu', 'pilots', 'evangelion', 'unit-02', 'in', 'a', 'desperate', 'last', 'stand', 'against', ""seele's"", 'heaviest', 'weaponry.', 'the', 'battle', 'rages', 'on,', 'and', 'a', 'depressed', 'shinji', 'hides', 'deep', 'within', ""nerv's"", 'headquarters.', 'with', 'the', 'fate', 'of', 'the', 'world', 'resting', 'in', ""shinji's"", 'hands,', 'captain', 'misato', 'katsuragi', 'hunts', 'for', 'the', 'teenage', 'boy', 'as', 'society', 'crumbles', 'around', 'them.', '[written', 'by', 'mal', 'rewrite]']"
1701,238,Rekka no Honoo,"['7.36', 'Action', 'Adventure', 'MartialArts', 'SuperPower', 'most', 'people', 'think', 'that', 'ninjas', 'are', 'a', 'thing', 'of', 'the', 'past,', 'but', 'rekka', 'hanabishi', 'wishes', 'otherwise.', 'although', 'he', 'comes', 'from', 'a', 'family', 'that', 'makes', 'fireworks,', 'he', 'likes', 'to', 'think', 'of', 'himself', 'as', 'a', 'self-styled,', 'modern-day', 'ninja.', 'sounds', 'like', 'fun,', 'right?', 'maybe', 'not.', 'rekka', 'ends', 'up', 'in', 'lots', 'of', 'fights', 'because', 'he', 'once', 'made', 'the', 'bold', 'announcement', 'that', 'if', 'someone', 'can', 'defeat', 'him,', 'he', 'will', 'become', 'their', 'servant.', 'then', 'one', 'day,', 'rekka', 'meets', 'yanagi', 'sakoshita,', 'a', 'gentle', 'girl', 'with', 'the', 'ability', 'to', 'heal', 'any', 'wound', 'or', 'injury.', 'their', 'meeting', 'sets', 'off', 'a', 'chain', 'of', 'events,', 'which', 'culminate', 'into', 'a', 'shocking', 'discovery.', 'rekka', 'is', 'the', 'last', 'surviving', 'member', 'of', 'a', 'legendary', 'ninja', 'clan', 'that', 'was', 'wiped', 'out', 'centuries', 'ago.', 'even', 'more', 'astonishing', 'than', 'being', 'an', 'actual', 'ninja,', 'he', 'also', 'wields', 'the', 'power', 'to', 'control', 'fire.', 'what', 'does', 'this', 'mean', 'for', 'rekka?', 'who', 'are', 'these', 'strange', 'people', 'after', 'him', 'and', 'yanagi?', 'find', 'out', 'in', 'rekka', 'no', 'honoo!']"
1702,868,Slayers Great,"['7.34', 'Adventure', 'Comedy', 'Fantasy', 'laia', 'einburg', 'wants', 'for', 'her', 'father', 'galia,', 'who', 'is', 'a', 'talented', 'golom', 'maker,', 'and', 'her', 'equally', 'ambitious', 'brother', 'huey', 'to', 'end', 'a', 'long', 'running', 'feud.', 'but', 'her', 'luck', 'changes', 'for', 'the', 'worse', 'when', 'lina', 'inverse', 'and', 'naga', 'the', 'serpent', 'save', 'laia', 'from', 'a', 'rampaging', 'golem.', '(source:', 'ann)']"
1703,1954,Rayearth,"['6.91', 'Action', 'Adventure', 'Fantasy', 'Mecha', 'the', 'earth', 'lies', 'darkened', 'and', 'deserted.', 'despite', 'the', 'best', 'efforts', 'of', 'the', ""film's"", 'heroine,', 'hikaru,', 'the', 'evil-filled', 'castle', 'of', 'cephiro', 'has', 'taken', 'over', 'the', 'world', 'and', 'stands', 'in', 'the', 'center', 'of', 'a', 'lifeless', 'tokyo.', 'before', 'the', 'ice-witch', 'alcyone', 'can', 'take', 'her', 'revenge', 'on', 'hikaru,', 'she', 'is', 'rescued', 'by', 'lantis,', 'a', 'young', 'man', 'who', 'seals', 'her', 'into', 'a', 'magical', 'maze', 'where', 'she', 'is', 'challenged', 'to', 'prove', 'her', 'powers', 'while', 'her', 'friends', 'are', 'hunted', 'down', 'by', ""cephiro's"", 'warlocks.', 'fleeing', 'through', 'the', 'silent', 'city,', 'umi', 'and', 'fuu', 'must', 'seek', 'out', 'the', 'sleeping', 'mashin;', 'godlike', 'creatures', 'that', 'will', 'fuse', 'with', 'them', 'to', 'form', 'giant', 'warriors', 'of', 'awesome', 'destructive', 'power.', 'but', 'the', 'magic', 'knights', 'are', 'afraid,', 'untrained', 'and', 'alone...', 'will', 'even', 'the', 'mashin', 'be', 'enough', 'to', 'save', 'them', 'from', 'the', 'evil', 'acts', 'of', 'cephiro?', '(source:', 'anidb)']"
